matrixSize,nThreads,duration
10,1,0.01308
10,2,0.165505
10,4,0.134141
10,8,0.245845
10,16,0.479068
10,32,1.07213
10,64,2.03117
10,128,4.38995
100,1,0.188067
100,2,0.296335
100,4,0.223931
100,8,0.334437
100,16,0.630736
100,32,1.18276
100,64,2.29587
100,128,4.69088
1000,1,18.1322
1000,2,10.7024
1000,4,10.4995
1000,8,9.67994
1000,16,7.84171
1000,32,7.7561
1000,64,11.8595
1000,128,41.4778
5000,1,529.061
5000,2,279.507
5000,4,122.621
5000,8,176.11
5000,16,178.721
5000,32,193.651
5000,64,204.944
5000,128,234.221
10000,1,3123.39
10000,2,1583.78
10000,4,650.482
10000,8,949.433
10000,16,1024.94
10000,32,1194.33
10000,64,1538.47
10000,128,1675.41
15000,1,7867.79
15000,2,3849.1
15000,4,1908.55
15000,8,2632.9
15000,16,2957.88
15000,32,3615.89
15000,64,4555.44
15000,128,4755.35
20000,1,16820.9
20000,2,9309.39
20000,4,5350.15
20000,8,6829.05
20000,16,7891.93
20000,32,9091.47
20000,64,9442.58
20000,128,9641.64
25000,1,30976.7
25000,2,17943.1
25000,4,10970.3
25000,8,12032
25000,16,14492.2
25000,32,14863.1
25000,64,15123.7
25000,128,14813.3
